tconst,averageRating,numVotes
tt2872718,7.9,411598
tt0087469,7.6,411075
tt0099785,7.6,410554
tt0372183,7.7,410448
tt0454921,8,409914
tt5463162,7.7,409245
tt0800080,6.7,407648
tt0268380,7.5,407589
tt2872732,6.4,407072
tt0119116,7.7,406942
tt0790636,8,406288
tt1430132,6.7,405636
tt1457767,7.5,404412
tt0375679,7.8,402706
tt0443706,7.7,399131
tt1099212,5.2,397862
tt1979320,8.1,397785
tt0367882,6.1,396930
tt1454029,8.1,396532
tt0101414,8,394640
tt0367594,6.6,393757
tt1872181,6.6,393066
tt2103281,7.6,392989
tt0319061,8,392450
tt0327056,7.9,391735
tt1568346,7.8,391059
tt0407304,6.5,390904
tt1790864,6.8,390716
tt0319262,6.4,389987
tt0314331,7.6,388667
tt0298148,7.2,387163
tt2713180,7.6,386958
tt1856101,8,386868
tt0441773,7.5,386319
tt2193021,7.6,383546
tt1951265,6.6,383300
tt0412142,8.7,381684
tt0830515,6.6,380285
tt0335266,7.7,377712
tt2245084,7.8,376953
tt3890160,7.6,376930
tt0097165,8.1,376311
tt0217505,7.5,375502
tt0382625,6.6,375412
tt1723121,7,375206
tt1396484,7.4,375095
tt2119532,8.1,374698
tt0120591,6.7,374004
tt0325710,7.7,373463
tt0337978,7.1,373229
tt1727824,8,371897
tt1895587,8.1,371486
tt3183660,7.3,371319
tt0398286,7.7,371234
tt0360717,7.2,370281
tt0362227,7.3,370111
tt0765429,7.8,370025
tt0120616,7,369972
tt4972582,7.3,369210
tt1399103,6.2,368703
tt0405422,7.1,368472
tt1055369,6,367380
tt0780536,7.9,365732
tt0099088,7.4,364856
tt1245492,6.6,363690
tt0093779,8.1,363427
tt0117060,7.1,362529
tt1014759,6.4,361769
tt0139654,7.7,360337
tt1605783,7.7,359809
tt0475784,8.8,359176
tt0217869,7.3,357972
tt0460681,8.4,356548
tt0831387,6.4,355984
tt2379713,6.8,355850
tt0163651,7,355734
tt5027774,8.2,355353
tt0387564,7.6,355182
tt0032138,8,355167
tt0091763,8.1,355030
tt0942385,7,354775
tt1060277,7,353826
tt0181852,6.3,353103
tt2306299,8.6,350842
tt1905041,7.1,350022
tt0119567,6.6,349830
tt4154664,7,349222
tt0315327,6.7,349222
tt1637688,6.7,348740
tt0289043,7.6,348704
tt0093773,7.8,348277
tt1690953,7.4,347827
tt2085059,8.9,345755
tt0105695,8.2,345622
tt0112864,7.6,343532
tt0458352,6.9,343395
tt0446029,7.5,343329
tt1217209,7.1,343200
tt0363771,6.9,343107
tt0493464,6.7,343030
tt0265086,7.7,342832
tt1259521,7,342619
tt0086879,8.3,341119
tt0083866,7.8,340954
tt2820852,7.2,338799
tt0443543,7.6,338576
tt0079470,8.1,338432
tt0369339,7.5,337849
tt0096697,8.7,337696
tt0092005,8.1,337262
tt0351283,6.9,336811
tt0974015,6.4,336524
tt0084787,8.1,335979
tt0317219,7.1,334770
tt0443453,7.3,334612
tt0349903,6.5,334365
tt0478311,6.9,334303
tt3322312,8.6,334251
tt1282140,7.1,333916
tt3397884,7.6,333525
tt1596343,7.3,333274
tt1632701,8.5,332660
tt0109686,7.3,332236
tt0361862,7.7,332217
tt1190080,5.8,330891
tt1210166,7.6,330337
tt0099674,7.6,329252
tt0119094,7.3,328882
tt1371111,7.4,328561
tt0103639,8,328222
tt0405094,8.4,327221
tt0087332,7.8,327113
tt0840361,7.5,325635
tt0408236,7.3,324768
tt0317740,7,324750
tt0232500,6.8,324492
tt0438488,6.5,323311
