nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0005095,Justin Kirk,1969,NA,actor,"tt0318997,tt0439100,tt0119578,tt1838603"
nm0586994,Andy Milder,1969,NA,"actor,soundtrack","tt0120591,tt0870111,tt0418279,tt0112384"
nm1872782,Allie Grant,1994,NA,actress,"tt1741256,tt7292950,tt0439100,tt2712740"
nm0536630,Sean Maguire,1976,NA,"actor,soundtrack","tt1073498,tt0484082,tt5511582,tt1843230"
nm0001757,Kevin Sorbo,1958,NA,"actor,producer,director","tt1073498,tt0111999,tt0213327,tt1468387"
nm0141089,William C. Carruth,NA,NA,"sound_department,editor,editorial_department","tt0108399,tt0120685,tt0106697,tt0120461"
nm0461095,Ted Knight,1923,1986,"actor,soundtrack","tt0080487,tt0055666,tt0069641,tt0065314"
nm0236519,Brian Doyle-Murray,1945,NA,"actor,writer,producer","tt0102138,tt0080487,tt0097958,tt0097428"
nm0006184,Johnny Mandel,1925,NA,"music_department,soundtrack,composer","tt0080487,tt0066026,tt0060099,tt0059674"
nm0488377,Stevan Larner,1930,2005,"cinematographer,camera_department,actor","tt0092319,tt0069762,tt0080487,tt0085112"
nm0045937,Michael Badalucco,1954,NA,"actor,art_department,producer","tt0162677,tt0190590,tt0118437,tt0110413"
nm0437249,J.H. Wyman,1967,NA,"producer,writer,actor","tt1119644,tt2101341,tt0236493,tt2654580"
nm0049689,John Baldecchi,NA,NA,"producer,actor,executive","tt8155288,tt2058673,tt0236493,tt5308322"
nm0570100,Kieran McGuigan,NA,NA,"cinematographer,camera_department,director","tt1592873,tt0442632,tt0242527,tt0896872"
nm0149491,Justin Chadwick,1968,NA,"director,actor,producer","tt0442632,tt0491203,tt2304771,tt0790663"
nm0339925,Philippa Gregory,1954,NA,"writer,producer,make_up_department","tt0467200,tt2372220,tt0154083,tt1743899"
nm2624602,Cameron Boyce,1999,2019,"actor,soundtrack,sound_department","tt2191701,tt8022928,tt8304608"
nm1193005,Sung-ho Kim,NA,NA,"director,writer,cinematographer","tt1242848,tt0790686,tt0372937,tt3812402"
nm0827913,Marc Sternberg,NA,NA,"producer,actor,executive","tt7078334,tt0132477,tt0790686,tt0265208"
nm0518505,Tony Lombardo,NA,NA,"editor,editorial_department,actor","tt0081353,tt0098554,tt0097815,tt0104952"
nm0925943,Mitchell Whitfield,1964,NA,"actor,soundtrack","tt0104952,tt0118702,tt0453556,tt3604232"
nm0490958,Dale Launer,1952,NA,"writer,producer,director","tt0102343,tt1298644,tt0095031,tt0104952"
nm0001853,Vanessa Williams,1963,NA,"actress,soundtrack,producer","tt0116213,tt0162650,tt0805669,tt0410975"
nm0701049,Tony Puryear,NA,NA,"writer,actor,visual_effects","tt0116213,tt0296875,tt4630290,tt1064899"
nm0338396,Walon Green,1936,NA,"producer,writer,miscellaneous","tt0098844,tt0065214,tt0106079,tt0067197"
nm0155961,Michael S. Chernuchin,1954,NA,"producer,writer,miscellaneous","tt1166893,tt0098844,tt0203259,tt0285331"
nm0732364,Amy Robinson,1948,NA,"producer,actress,writer","tt0088680,tt0120681,tt0070379,tt0126916"
nm2823045,Julie Powell,1973,NA,writer,"tt1490762,tt1771755,tt0441718,tt1135503"
nm0157463,Julia Child,1912,2004,"writer,actress","tt0108526,tt1135503,tt0281455,tt0163936"
nm2954422,Alex Prud'homme,NA,NA,"writer,miscellaneous","tt1833785,tt2043900,tt1833685,tt1135503"
nm1172817,Ian Mongrain,NA,NA,"camera_department,actor,editorial_department","tt0945513,tt0164184,tt1411250,tt1877832"
nm0090309,Russell Bobbitt,NA,NA,"art_department,actor,producer","tt3498820,tt3896198,tt4154756,tt4154796"
nm0452319,Beeban Kidron,1961,NA,"director,producer,writer","tt0114682,tt3101474,tt0317198,tt0098032"
nm0003703,Eric Strand,NA,NA,"editor,editorial_department","tt0146316,tt0149261,tt0246578,tt0087262"
nm0029400,Michael Angarano,1987,NA,"actor,writer,director","tt2231253,tt0865556,tt0405325,tt0181875"
nm2973494,Juana Collignon,NA,NA,actress,tt0865556
nm0299301,John Fusco,NA,NA,"writer,producer,actor","tt0865556,tt0166813,tt0096487,tt0317648"
nm0798661,Casey Silver,1955,NA,"producer,miscellaneous,editorial_department","tt0865556,tt0317648,tt0349710,tt1860242"
nm0001421,George Kennedy,1925,2016,"actor,miscellaneous","tt0065377,tt0056923,tt0061512,tt0102510"
nm1249052,Riccardo Scamarcio,1979,NA,"actor,producer,soundtrack","tt4425200,tt0388483,tt1859650,tt1405810"
nm0435701,Michael Kalesniko,1961,NA,"writer,director,actor","tt0119951,tt2503944,tt0207524,tt1034314"
nm7248827,NA,NA,NA,NA,NA
nm1436246,Jeremy Latcham,NA,NA,"producer,camera_department,miscellaneous","tt2015381,tt2250912,tt0848228,tt0371746"
nm0309307,Kyle Gass,1960,NA,"actor,soundtrack,composer","tt0365830,tt0180241,tt0115798,tt0319343"
nm0715469,JR Reed,1967,NA,"actor,soundtrack","tt0365830,tt3487356,tt3596174,tt4585660"
nm0227875,Ronnie James Dio,1942,2010,"soundtrack,actor,composer","tt1711525,tt0082509,tt3553442,tt0365830"
nm0528381,Liam Lynch,1970,NA,"director,soundtrack,music_department","tt0365830,tt0332379,tt0189308,tt0305011"
nm0343320,Andrew Gross,1969,NA,"composer,music_department,soundtrack","tt0365830,tt4913290,tt0279113,tt1349482"
nm0454887,John King,NA,NA,"soundtrack,composer,music_department","tt0119099,tt5462602,tt3890160,tt0365830"
nm0109658,Robert Brinkmann,1961,NA,"cinematographer,camera_department,director","tt0365830,tt0104187,tt0292644,tt0115798"
